"day","total_steps"
2018-05-22,8143
2018-05-23,6319
2018-05-24,11594
2018-05-25,10051
2018-05-26,23562
2018-05-27,12882
2018-05-28,10429
2018-05-29,9953
2018-05-30,9921
2018-05-31,6150
2018-06-01,10591
2018-06-02,12665
2018-06-03,19162
2018-06-04,7514
2018-06-05,7029
2018-06-06,10321
2018-06-07,6212
2018-06-08,4401
2018-06-09,4868
2018-06-10,12733
2018-06-11,8338
2018-06-12,9822
2018-06-13,9401
2018-06-14,10317
2018-06-15,11260
2018-06-16,15343
2018-06-17,5724
2018-06-18,4930
2018-06-19,9672
2018-06-20,13095
2018-06-21,7274
2018-06-22,14665
2018-06-23,17298
2018-06-24,7745
2018-06-25,5747
2018-06-26,8077
2018-06-27,7558
2018-06-28,5732
2018-06-29,15810
2018-06-30,12340
2018-07-01,8233
2018-07-02,5844
2018-07-03,17163
2018-07-04,16128
2018-07-05,6675
2018-07-06,7867
2018-07-07,6138
2018-07-08,8479
2018-07-09,12470
2018-07-10,5649
2018-07-11,6844
2018-07-12,7688
2018-07-13,11411
2018-07-14,15249
2018-07-15,16522
2018-07-16,10357
2018-07-17,7415
2018-07-18,9918
2018-07-19,9449
2018-07-20,14203
2018-07-21,11472
2018-07-22,6662
2018-07-23,12948
2018-07-24,6739
2018-07-25,9366
2018-07-26,17189
2018-07-27,8018
2018-07-28,10347
2018-07-29,6406
2018-07-30,18261
2018-07-31,5648
2018-08-01,9560
2018-08-02,13267
2018-08-03,9432
2018-08-04,2702
2018-08-05,14747
2018-08-06,5394
2018-08-07,13682
2018-08-08,6967
2018-08-09,11461
2018-08-10,10892
2018-08-11,13456
2018-08-12,16856
2018-08-13,11507
2018-08-14,8951
2018-08-15,5658
2018-08-16,7250
2018-08-17,10477
2018-08-18,8062
2018-08-19,665
2018-08-20,11383
2018-08-21,4693
2018-08-22,7100
2018-08-23,7623
2018-08-24,11085
2018-08-25,7797
2018-08-26,3415
2018-08-27,6182
2018-08-28,7800
2018-08-29,6674
2018-08-30,8984
2018-08-31,3491
2018-09-01,5195
2018-09-02,8597
2018-09-03,5032
2018-09-04,8806
2018-09-05,5013
2018-09-06,4256
2018-09-07,2758
2018-09-08,5327
2018-09-09,3076
2018-09-10,4949
2018-09-11,6895
2018-09-12,5795
2018-09-13,2087
2018-09-14,297
2018-09-15,161
2018-09-16,343
2018-09-17,2757
2018-09-18,7111
2018-09-19,6888
2018-09-20,7037
2018-09-21,4369
2018-09-22,7650
2018-09-23,1514
2018-09-24,3660
2018-09-25,5618
2018-09-26,2447
2018-09-27,4687
2018-09-28,2874
2018-09-29,5641
2018-09-30,3160
2018-10-01,4522
2018-10-02,4974
2018-10-03,4199
2018-10-04,4386
2018-10-05,2304
2018-10-06,10614
2018-10-07,6589
2018-10-08,4145
2018-10-09,6807
2018-10-10,7208
2018-10-11,4223
2018-10-12,5593
2018-10-13,792
2018-10-14,4463
2018-10-15,8482
2018-10-16,6384
2018-10-17,6176
2018-10-18,6567
2018-10-19,4998
2018-10-20,648
2018-10-21,2707
2018-10-22,6711
2018-10-23,4413
2018-10-24,7862
2018-10-25,4815
2018-10-26,5783
2018-10-27,5157
2018-10-28,3266
2018-10-29,6121
2018-10-30,2756
2018-10-31,6181
2018-11-01,3881
2018-11-02,3328
2018-11-03,6611
2018-11-04,3289
2018-11-05,3528
2018-11-06,4715
2018-11-07,5846
2018-11-08,4797
2018-11-09,6862
2018-11-10,1237
2018-11-11,1519
2018-11-12,3583
2018-11-13,6597
2018-11-14,2456
2018-11-15,4820
2018-11-16,5124
2018-11-17,3996
2018-11-18,722
2018-11-19,2073
2018-11-20,4628
2018-11-21,1353
2018-11-22,1067
2018-11-23,1680
2018-11-24,5408
2018-11-25,3095
2018-11-26,5401
2018-11-27,3863
2018-11-28,3905
2018-11-29,5721
2018-11-30,6258
2018-12-01,150
2018-12-02,5326
2018-12-03,6898
2018-12-04,58
2018-12-05,5320
2018-12-06,2404
2018-12-07,4650
2018-12-08,208
2018-12-09,5000
2018-12-10,3495
2018-12-11,4781
2018-12-12,5224
2018-12-13,4895
2018-12-14,2017
2018-12-15,3083
2018-12-16,5030
2018-12-17,4912
2018-12-18,3680
2018-12-19,5975
2018-12-20,2538
2018-12-21,8160
2018-12-22,7760
2018-12-23,4480
2018-12-24,2798
2018-12-25,3851
2018-12-26,2461
2018-12-27,3884
2018-12-28,3376
2018-12-29,1907
2018-12-30,2359
2018-12-31,832
2019-01-01,1510
2019-01-02,2122
2019-01-03,1429
2019-01-04,1032
2019-01-05,1645
2019-01-06,5906
2019-01-07,1724
2019-01-08,5271
2019-01-09,6820
2019-01-10,9434
2019-01-11,2600
2019-01-12,4812
2019-01-13,1156
2019-01-14,7668
2019-01-15,5268
2019-01-16,8371
2019-01-17,4208
2019-01-18,6848
2019-01-19,8423
2019-01-20,12470
2019-01-21,3128
2019-01-22,6384
2019-01-23,7852
2019-01-24,3693
2019-01-25,2290
2019-01-26,1022
2019-01-27,2153
2019-01-28,8798
2019-01-29,2925
2019-01-30,6066
2019-01-31,4709
2019-02-01,8779
2019-02-02,7282
2019-02-03,1191
2019-02-04,6162
2019-02-05,4306
2019-02-06,5349
2019-02-07,4009
2019-02-08,3842
2019-02-09,8943
2019-02-10,2845
2019-02-11,4642
2019-02-12,8689
2019-02-13,3024
2019-02-14,5135
2019-02-15,5910
2019-02-16,4799
2019-02-17,1659
2019-02-18,5252
2019-02-19,4749
2019-02-20,4587
2019-02-21,3272
2019-02-22,2236
2019-02-23,3188
2019-02-24,2064
2019-02-25,5437
2019-02-26,3812
2019-02-27,6633
2019-02-28,3794
2019-03-01,7690
2019-03-02,5528
2019-03-03,3251
2019-03-04,5944
2019-03-05,4718
2019-03-06,10296
2019-03-07,5281
2019-03-08,9527
2019-03-09,1734
2019-03-10,9401
2019-03-11,7653
2019-03-12,1751
2019-03-13,10190
2019-03-14,6627
2019-03-15,7304
2019-03-16,712
2019-03-17,2587
2019-03-18,3430
2019-03-19,4064
2019-03-20,6432
2019-03-21,4051
2019-03-22,10271
2019-03-23,12483
2019-03-24,4441
2019-03-25,5727
2019-03-26,3507
2019-03-27,5421
2019-03-28,3771
2019-03-29,2827
2019-03-30,1289
2019-03-31,4565
2019-04-01,8998
2019-04-02,5229
2019-04-03,6716
2019-04-04,7116
2019-04-05,3581
2019-04-06,3143
2019-04-07,2020
2019-04-08,4372
2019-04-09,4979
2019-04-10,6269
2019-04-11,4294
2019-04-12,4513
2019-04-13,4558
2019-04-14,1420
2019-04-15,4652
2019-04-16,5697
2019-04-17,8543
2019-04-18,8164
2019-04-19,9563
2019-04-20,13910
2019-04-21,15646
2019-04-22,15785
2019-04-23,3042
2019-04-24,5861
2019-04-25,1404
2019-04-26,2843
2019-04-27,6429
2019-04-28,4229
2019-04-29,3153
2019-04-30,2690
2019-05-01,369
2019-05-02,3287
2019-05-03,3496
2019-05-04,3294
2019-05-05,3400
2019-05-06,3002
2019-05-07,9979
2019-05-08,3412
2019-05-09,2648
2019-05-10,3900
2019-05-11,2280
2019-05-12,10430
2019-05-13,4522
2019-05-14,4439
2019-05-15,6306
2019-05-16,4573
2019-05-17,7643
2019-05-18,1079
2019-05-19,769
2019-05-20,5781
2019-05-21,5588
2019-05-22,6982
2019-05-23,5218
2019-05-24,7536
2019-05-25,10232
2019-05-26,6275
2019-05-27,4477
2019-05-28,7532
2019-05-29,4087
2019-05-30,4424
2019-05-31,3040
2019-06-01,3795
2019-06-02,1048
2019-06-03,2957
